trip_id,id,type,busStop,started,delay,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,block_id,block_name,start_diff
205250020,150,Gillig_101,1555,29422.0,23.00,150,20220111 08:10,29400,31200,1555,1710,1202,1301,22.0
205251020,150,Gillig_101,1555,25882.0,83.00,150,20220111 07:10,25800,27600,1555,1710,1202,1301,82.0
205252020,150,Gillig_101,1555,22452.0,253.00,150,20220111 06:20,22200,24000,1555,1710,1202,1301,252.0
205253020,150,Gillig_101,354,17461.0,1.00,150,20220111 04:45,17460,19800,354,1710,1202,1301,1.0
205254020,135,Gillig_102,1710,64012.0,14512.00,135,20220111 17:52,63900,66300,1710,690,1302,1351,112.0
205255020,135,Gillig_102,1710,60633.0,14733.00,135,20220111 16:52,60300,62100,1710,1589,1302,1351,333.0
205256020,135,Gillig_102,1710,57189.0,14889.00,135,20220111 16:00,56700,58500,1710,1589,1302,1351,489.0
205257020,135,Gillig_102,1710,53873.0,15173.00,135,20220111 14:50,53100,54900,1710,1589,1302,1351,773.0
205258020,135,Gillig_102,1710,53873.0,15173.00,135,20220111 13:47,49500,51300,1710,1589,1302,1351,4373.0
205259020,135,Gillig_102,1710,53873.0,15173.00,135,20220111 12:46,45900,47700,1710,1589,1302,1351,7973.0
205260020,135,Gillig_102,1710,53873.0,15173.00,135,20220111 11:47,42300,44100,1710,1589,1302,1351,11573.0
205261020,135,Gillig_102,1710,28888.0,88.00,135,20220111 10:45,38700,40500,1710,1589,1302,1351,9812.0
205262020,150,Gillig_101,1710,34830.0,30.00,150,20220111 09:40,34800,37200,1710,690,1202,1301,30.0
205263020,150,Gillig_101,1710,31187.0,0.00,150,20220111 08:40,31200,33000,1710,1589,1202,1301,13.0
205264020,150,Gillig_101,1710,27612.0,12.00,150,20220111 07:40,27600,29400,1710,1589,1202,1301,12.0
205265020,150,Gillig_101,1710,24167.0,167.00,150,20220111 06:43,24000,25800,1710,1589,1202,1301,167.0
205296020,140,Gillig_102,400,61069.0,49.00,140,20220111 16:58,61020,61620,400,413,1602,1403,49.0
205297020,140,Gillig_102,400,59807.0,0.00,140,20220111 16:37,59820,60420,400,413,1602,1403,13.0
205298020,140,Gillig_102,400,58606.0,0.00,140,20220111 16:16,58620,59220,400,413,1602,1403,14.0
205300020,140,Gillig_102,400,56208.0,0.00,140,20220111 15:53,56220,56820,400,413,1602,1403,12.0
205301020,140,Gillig_102,400,55027.0,7.00,140,20220111 15:37,55020,55620,400,413,1602,1403,7.0
205302020,140,Gillig_102,400,53807.0,0.00,140,20220111 14:53,53820,54420,400,413,1602,1403,13.0
205303020,140,Gillig_102,400,52608.0,0.00,140,20220111 14:36,52620,53220,400,413,1602,1403,12.0
205304020,140,Gillig_102,400,51417.0,0.00,140,20220111 14:17,51420,52020,400,413,1602,1403,3.0
205305020,140,Gillig_102,400,50228.0,8.00,140,20220111 13:54,50220,50820,400,413,1602,1403,8.0
205306020,143,Gillig_102,400,71447.0,0.00,143,20220111 20:14,71460,72060,400,413,1502,1402,13.0
205307020,143,Gillig_102,400,70247.0,0.00,143,20220111 19:27,70260,70860,400,413,1502,1402,13.0
205308020,143,Gillig_102,400,69047.0,0.00,143,20220111 19:07,69060,69660,400,413,1502,1402,13.0
205309020,143,Gillig_102,400,67848.0,0.00,143,20220111 18:48,67860,68460,400,413,1502,1402,12.0
205310020,143,Gillig_102,400,66646.0,0.00,143,20220111 18:29,66660,67260,400,413,1502,1402,14.0
205311020,143,Gillig_102,400,65447.0,0.00,143,20220111 18:13,65460,66060,400,413,1502,1402,13.0
205312020,143,Gillig_102,400,64247.0,0.00,143,20220111 17:48,64260,64860,400,413,1502,1402,13.0
205313020,143,Gillig_102,400,63047.0,0.00,143,20220111 17:30,63060,63660,400,413,1502,1402,13.0
205314020,143,Gillig_102,400,61846.0,0.00,143,20220111 17:12,61860,62460,400,413,1502,1402,14.0
205315020,143,Gillig_102,400,60648.0,0.00,143,20220111 16:51,60660,61260,400,413,1502,1402,12.0
205316020,143,Gillig_102,400,59447.0,0.00,143,20220111 16:30,59460,60060,400,413,1502,1402,13.0
205317020,143,Gillig_102,400,58246.0,0.00,143,20220111 16:10,58260,58860,400,413,1502,1402,14.0
205318020,143,Gillig_102,400,57046.0,0.00,143,20220111 15:49,57060,57660,400,413,1502,1402,14.0
205319020,143,Gillig_102,400,55847.0,0.00,143,20220111 15:32,55860,56460,400,413,1502,1402,13.0
205320020,143,Gillig_102,400,54647.0,0.00,143,20220111 15:10,54660,55260,400,413,1502,1402,13.0
205321020,143,Gillig_102,400,53445.0,0.00,143,20220111 14:49,53460,54060,400,413,1502,1402,15.0
205322020,143,Gillig_102,400,52247.0,0.00,143,20220111 14:27,52260,52860,400,413,1502,1402,13.0
205323020,143,Gillig_102,400,51067.0,7.00,143,20220111 14:09,51060,51660,400,413,1502,1402,7.0
205324020,143,Gillig_102,400,49874.0,14.00,143,20220111 13:49,49860,50460,400,413,1502,1402,14.0
205325020,140,Gillig_102,400,49007.0,0.00,140,20220111 13:37,49020,49620,400,413,1602,1403,13.0
205326020,140,Gillig_102,400,47808.0,0.00,140,20220111 13:14,47820,48420,400,413,1602,1403,12.0
205327020,140,Gillig_102,400,46606.0,0.00,140,20220111 12:56,46620,47220,400,413,1602,1403,14.0
205328020,140,Gillig_102,400,45407.0,0.00,140,20220111 12:36,45420,46020,400,413,1602,1403,13.0
205329020,143,Gillig_102,400,48647.0,0.00,143,20220111 13:29,48660,49260,400,413,1502,1402,13.0
205330020,143,Gillig_102,400,47445.0,0.00,143,20220111 13:07,47460,48060,400,413,1502,1402,15.0
205331020,143,Gillig_102,400,46246.0,0.00,143,20220111 12:47,46260,46860,400,413,1502,1402,14.0
205332020,144,Gillig_102,400,71026.0,0.00,144,20220111 19:39,71040,71640,400,413,1402,1401,14.0
205333020,144,Gillig_102,400,69826.0,0.00,144,20220111 19:21,69840,70440,400,413,1402,1401,14.0
205334020,144,Gillig_102,400,68626.0,0.00,144,20220111 19:00,68640,69240,400,413,1402,1401,14.0
205335020,144,Gillig_102,400,67435.0,0.00,144,20220111 18:41,67440,68040,400,413,1402,1401,5.0
205336020,144,Gillig_102,400,66226.0,0.00,144,20220111 18:22,66240,66840,400,413,1402,1401,14.0
205337020,144,Gillig_102,400,65028.0,0.00,144,20220111 17:59,65040,65640,400,413,1402,1401,12.0
205338020,144,Gillig_102,400,63833.0,0.00,144,20220111 17:40,63840,64440,400,413,1402,1401,7.0
205339020,144,Gillig_102,400,62626.0,0.00,144,20220111 17:23,62640,63240,400,413,1402,1401,14.0
205340020,144,Gillig_102,400,61427.0,0.00,144,20220111 17:00,61440,62040,400,413,1402,1401,13.0
205341020,144,Gillig_102,400,60227.0,0.00,144,20220111 16:45,60240,60840,400,413,1402,1401,13.0
205342020,144,Gillig_102,400,59027.0,0.00,144,20220111 16:29,59040,59640,400,413,1402,1401,13.0
205343020,144,Gillig_102,400,57826.0,0.00,144,20220111 16:04,57840,58440,400,413,1402,1401,14.0
205344020,144,Gillig_102,400,56626.0,0.00,144,20220111 15:47,56640,57240,400,413,1402,1401,14.0
205345020,144,Gillig_102,400,55426.0,0.00,144,20220111 15:21,55440,56040,400,413,1402,1401,14.0
205346020,144,Gillig_102,400,54226.0,0.00,144,20220111 15:05,54240,54840,400,413,1402,1401,14.0
205347020,144,Gillig_102,400,53026.0,0.00,144,20220111 14:45,53040,53640,400,413,1402,1401,14.0
205348020,144,Gillig_102,400,51838.0,0.00,144,20220111 14:27,51840,52440,400,413,1402,1401,2.0
205349020,144,Gillig_102,400,50645.0,5.00,144,20220111 14:04,50640,51240,400,413,1402,1401,5.0
205350020,144,Gillig_102,400,49457.0,17.00,144,20220111 13:44,49440,50040,400,413,1402,1401,17.0
205351020,144,Gillig_102,400,48227.0,0.00,144,20220111 13:27,48240,48840,400,413,1402,1401,13.0
205352020,144,Gillig_102,400,47026.0,0.00,144,20220111 13:01,47040,47640,400,413,1402,1401,14.0
205353020,144,Gillig_102,400,45827.0,0.00,144,20220111 12:39,45840,46440,400,413,1402,1401,13.0
205354020,140,Gillig_102,400,44205.0,0.00,140,20220111 12:20,44220,44820,400,413,1602,1403,15.0
205355020,140,Gillig_102,400,42944.0,0.00,140,20220111 11:55,42960,43560,400,413,1602,1403,16.0
205356020,140,Gillig_102,400,41686.0,0.00,140,20220111 11:33,41700,42300,400,413,1602,1403,14.0
205357020,140,Gillig_102,400,40425.0,0.00,140,20220111 11:13,40440,41040,400,413,1602,1403,15.0
205358020,140,Gillig_102,400,39164.0,0.00,140,20220111 10:56,39180,39780,400,413,1602,1403,16.0
205359020,140,Gillig_102,400,37904.0,0.00,140,20220111 10:35,37920,38520,400,413,1602,1403,16.0
205360020,140,Gillig_102,400,36644.0,0.00,140,20220111 10:09,36660,37260,400,413,1602,1403,16.0
205361020,140,Gillig_102,400,35385.0,0.00,140,20220111 09:52,35400,36000,400,413,1602,1403,15.0
205362020,140,Gillig_102,400,34124.0,0.00,140,20220111 09:33,34140,34740,400,413,1602,1403,16.0
205363020,140,Gillig_102,400,32866.0,0.00,140,20220111 09:09,32880,33480,400,413,1602,1403,14.0
205364020,140,Gillig_102,400,31604.0,0.00,140,20220111 08:49,31620,32220,400,413,1602,1403,16.0
205365020,140,Gillig_102,400,30345.0,0.00,140,20220111 08:25,30360,30960,400,413,1602,1403,15.0
