trip_id,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name
206060020,727,20220111 11:02,11:00:00,11:15:00,1565,730,2A,3202,201
205732020,111,20220111 11:04,11:05:00,11:40:00,145,1423,16,7202,903
206957020,703,20220111 11:05,11:05:00,11:20:00,1566,1874,33,3902,3302
205372020,143,20220111 11:07,11:07:00,11:17:00,400,413,14,1502,1402
205487020,140,20220111 11:07,11:03:00,11:14:00,413,400,14,1602,1403
205516020,144,20220111 11:09,11:10:00,11:21:00,413,400,14,1402,1401
204955020,129,20220111 11:10,11:15:00,12:00:00,95,690,1,802,105
205357020,140,20220111 11:13,11:14:00,11:24:00,400,413,14,1602,1403
206082020,727,20220111 11:14,11:15:00,11:30:00,730,1565,2A,3202,201
206883020,703,20220111 11:15,11:20:00,11:35:00,1874,1565,DTS,3902,3302
205247020,135,20220111 11:16,11:15:00,11:45:00,1555,1710,13,1302,1351
205384020,144,20220111 11:16,11:21:00,11:31:00,400,413,14,1402,1401
205503020,143,20220111 11:19,11:17:00,11:28:00,413,400,14,1502,1402
204908020,123,20220111 11:20,11:26:00,12:05:00,354,95,1,2502,152
205056020,145,20220111 11:21,11:20:00,11:50:00,145,217,10A,902,106
205074020,147,20220111 11:22,11:25:00,11:55:00,288,1351,10A,102,101
205486020,140,20220111 11:25,11:24:00,11:35:00,413,400,14,1602,1403
206771020,136,20220111 11:26,11:25:00,11:55:00,1555,1710,9,7402,905
205371020,143,20220111 11:26,11:28:00,11:38:00,400,413,14,1502,1402
207272020,146,20220111 11:26,11:31:00,11:55:00,354,756,21,2602,153
206790020,138,20220111 11:28,11:15:00,11:45:00,1710,145,9,7102,902
206324020,752,20220111 11:28,11:30:00,12:30:00,1883,1351,4,8102,955
205649020,728,20220111 11:29,11:20:00,11:45:00,143,454,15A,1902,1501
206059020,727,20220111 11:29,11:30:00,11:45:00,1565,730,2A,3202,201
204954020,119,20220111 11:30,11:35:00,12:25:00,95,690,1,1002,107
205515020,144,20220111 11:32,11:31:00,11:42:00,413,400,14,1402,1401
205356020,140,20220111 11:33,11:35:00,11:45:00,400,413,14,1602,1403
206960020,703,20220111 11:34,11:35:00,11:50:00,1566,1874,33,3902,3302
205756020,111,20220111 11:35,11:40:00,12:15:00,509,1555,16,7202,903
205166020,504,20220111 11:37,11:36:00,12:20:00,354,288,10G,1102,108
205502020,143,20220111 11:39,11:38:00,11:49:00,413,400,14,1502,1402
205383020,144,20220111 11:41,11:42:00,11:52:00,400,413,14,1402,1401
205184020,145,20220111 11:45,11:50:00,12:45:00,217,354,10G,902,106
206886020,703,20220111 11:46,11:50:00,12:05:00,1874,1565,DTS,3902,3302
205370020,143,20220111 11:46,11:49:00,11:59:00,400,413,14,1502,1402
205664020,728,20220111 11:46,11:45:00,12:10:00,454,143,15A,1902,1501
206081020,727,20220111 11:47,11:45:00,12:00:00,730,1565,2A,3202,201
205260020,135,20220111 11:47,11:45:00,12:15:00,1710,1589,13,1302,1351
205485020,140,20220111 11:49,11:45:00,11:56:00,413,400,14,1602,1403
205514020,144,20220111 11:52,11:52:00,12:03:00,413,400,14,1402,1401
205731020,138,20220111 11:55,11:45:00,12:20:00,145,1423,16,7102,902
204907020,147,20220111 11:55,11:55:00,12:25:00,1351,95,1,102,101
206339020,501,20220111 11:55,12:00:00,13:20:00,1878,690,4,5002,403
206795020,136,20220111 11:55,11:55:00,12:25:00,1710,145,9,7402,905
205355020,140,20220111 11:55,11:56:00,12:06:00,400,413,14,1602,1403
207273020,146,20220111 11:56,11:55:00,12:20:00,756,1351,21,2602,153
205922020,154,20220111 11:58,11:56:00,12:20:00,354,756,21,5502,408
206058020,727,20220111 12:01,12:00:00,12:15:00,1565,730,2A,3202,201
205501020,143,20220111 12:01,11:59:00,12:10:00,413,400,14,1502,1402
206963020,703,20220111 12:03,12:05:00,12:20:00,1566,1874,33,3902,3302
206285020,120,20220111 12:04,12:00:00,13:00:00,1351,1876,4,4802,401
205382020,144,20220111 12:06,12:03:00,12:13:00,400,413,14,1402,1401
206023020,134,20220111 12:06,12:00:00,12:25:00,12,779,28,3502,2802
204953020,123,20220111 12:07,12:05:00,12:40:00,95,145,1,2502,152
205369020,143,20220111 12:12,12:10:00,12:20:00,400,413,14,1502,1402
205484020,140,20220111 12:12,12:06:00,12:17:00,413,400,14,1602,1403
206770020,111,20220111 12:15,12:15:00,12:45:00,1555,1710,9,7202,903
