interval_begin,interval_end,edge_id,edge_speed,edge_density,edge_laneDensity,edge_left,edge_occupancy,edge_traveltime,edge_waitingTime,edge_entered
21600.0,22200.0,-26447,16.25,4.4,4.4,41,2.1,6.2,0.0,39
21600.0,22200.0,-26448,17.54,0.99,0.99,9,0.55,3.07,0.0,10
21600.0,22200.0,-26449,,,,0,,,,0
21600.0,22200.0,-2645,7.38,0.25,0.25,1,0.11,6.44,0.0,1
21600.0,22200.0,-26450,15.36,122.47,122.47,43,2.36,0.01,0.0,43
21600.0,22200.0,-26451,7.65,0.45,0.45,2,0.21,10.18,0.0,1
21600.0,22200.0,-26452,15.38,0.47,0.47,4,0.22,4.25,0.0,4
21600.0,22200.0,-26453,9.12,0.19,0.19,0,0.09,10.58,0.0,1
21600.0,22200.0,-26454,6.61,0.25,0.25,1,0.12,15.74,0.0,0
21600.0,22200.0,-26455,,,,0,,,,0
21600.0,22200.0,-26456,,,,0,,,,0
21600.0,22200.0,-26457,,,,0,,,,0
21600.0,22200.0,-26458,8.33,0.21,0.21,1,0.1,10.62,0.0,1
21600.0,22200.0,-26459,7.23,0.46,0.46,2,0.22,14.48,0.0,0
21600.0,22200.0,-2646,29.6,0.22,0.11,3,0.05,60.3,0.0,4
21600.0,22200.0,-26460,7.69,0.44,0.44,1,0.21,12.3,0.0,1
21600.0,22200.0,-26461,8.23,0.21,0.21,1,0.1,11.7,0.0,1
21600.0,22200.0,-26462,,,,0,,,,0
21600.0,22200.0,-26463,17.01,1.01,1.01,9,0.54,2.62,0.0,9
21600.0,22200.0,-26464,4.32,1.14,1.14,2,0.28,0.84,0.0,1
21600.0,22200.0,-26465,,,,0,,,,0
21600.0,22200.0,-26466,11.1,0.48,0.24,3,0.18,13.35,7.0,3
21600.0,22200.0,-26467,7.0,76.69,76.69,8,1.5,0.02,0.0,7
21600.0,22200.0,-26468,8.28,0.2,0.2,1,0.1,19.17,0.0,0
21600.0,22200.0,-26469,7.79,0.67,0.67,3,0.31,13.31,0.0,3
21600.0,22200.0,-2647,16.75,3.02,3.02,29,1.58,29.75,86.0,30
21600.0,22200.0,-26470,8.31,0.2,0.2,0,0.1,50.47,0.0,1
21600.0,22200.0,-26471,8.66,0.36,0.36,1,0.09,0.68,0.0,1
21600.0,22200.0,-26472,9.42,0.01,0.01,0,0.0,16.0,0.0,1
21600.0,22200.0,-26473,7.89,0.22,0.22,0,0.1,16.59,0.0,1
21600.0,22200.0,-26474,9.64,0.42,0.21,2,0.18,5.64,0.0,2
21600.0,22200.0,-26475,,,,0,,,,0
21600.0,22200.0,-26476,7.56,0.47,0.47,2,0.22,11.2,0.0,2
21600.0,22200.0,-26477,8.15,0.42,0.42,2,0.2,16.87,0.0,2
21600.0,22200.0,-26478,16.6,1.85,1.85,17,1.13,7.17,0.0,17
21600.0,22200.0,-26479,11.52,0.62,0.62,4,0.28,5.38,0.0,4
21600.0,22200.0,-2648,21.41,0.39,0.39,5,0.19,20.51,7.0,5
21600.0,22200.0,-26480,,,,0,,,,0
21600.0,22200.0,-26481,7.95,0.24,0.24,1,0.1,4.2,0.0,1
21600.0,22200.0,-26482,7.52,0.23,0.23,1,0.11,18.35,0.0,1
21600.0,22200.0,-26483,6.2,79.89,79.89,7,1.56,0.04,0.0,7
21600.0,22200.0,-26484,7.97,0.21,0.21,1,0.14,13.28,0.0,0
21600.0,22200.0,-26485,8.0,0.22,0.22,1,0.1,10.25,0.0,1
21600.0,22200.0,-26486,7.16,1.21,1.21,5,0.58,17.88,2.0,5
21600.0,22200.0,-26487,16.09,1.13,1.13,10,0.61,3.91,0.0,9
21600.0,22200.0,-26488,,,,0,,,,0
21600.0,22200.0,-26489,,,,0,,,,0
21600.0,22200.0,-2649,11.43,7.18,7.18,46,3.61,26.01,162.0,49
21600.0,22200.0,-26490,4.95,9.11,9.11,25,4.78,19.16,235.0,26
21600.0,22200.0,-26491,8.12,0.21,0.21,1,0.33,33.26,0.0,0
21600.0,22200.0,-26492,7.36,0.98,0.98,4,0.44,6.24,0.0,3
21600.0,22200.0,-26493,,,,0,,,,0
21600.0,22200.0,-26494,,,,0,,,,0
21600.0,22200.0,-26495,,,,0,,,,0
21600.0,22200.0,-26496,7.25,0.23,0.23,1,0.11,12.85,0.0,0
21600.0,22200.0,-26497,,,,0,,,,0
21600.0,22200.0,-26498,5.91,0.56,0.56,2,0.26,12.8,0.0,0
21600.0,22200.0,-26499,,,,0,,,,0
21600.0,22200.0,-2650,12.55,1.48,1.48,10,0.83,30.29,128.0,11
21600.0,22200.0,-26500,2.05,13.72,13.72,7,3.78,3.25,15.0,6
21600.0,22200.0,-26501,,,,0,,,,0
21600.0,22200.0,-26502,,,,0,,,,0
21600.0,22200.0,-26503,,,,0,,,,0
21600.0,22200.0,-26504,,,,0,,,,0
21600.0,22200.0,-26505,19.89,0.08,0.08,1,0.04,2.91,0.0,0
21600.0,22200.0,-26506,7.93,0.44,0.44,1,0.21,10.49,0.0,2
21600.0,22200.0,-26507,,,,0,,,,0
21600.0,22200.0,-26508,,,,0,,,,0
21600.0,22200.0,-26509,,,,0,,,,0
