time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21775000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21776000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21777000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21778000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21779000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21780000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21781000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21782000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21783000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21784000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21785000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21786000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21787000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21788000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21789000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21790000,1,10,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21791000,0,-9,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21792000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21793000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21794000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21795000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21796000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21797000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21798000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21799000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21800000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21801000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21802000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21803000,115,1153,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21804000,187,719,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21805000,272,844,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21806000,388,1167,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21807000,523,1349,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21808000,652,1293,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21809000,730,773,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21810000,868,1387,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21811000,994,1250,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21812000,1102,1080,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21813000,1220,1184,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21814000,1323,1030,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21815000,1400,766,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21816000,1524,1247,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21817000,1479,-449,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21818000,1115,-3647,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21819000,730,-3845,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21820000,340,-3899,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21821000,10,-3302,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21822000,0,-95,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21823000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21824000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21825000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21826000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21827000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21828000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21829000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21830000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21831000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21832000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21833000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21834000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21835000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21836000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21837000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21838000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21839000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21840000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21841000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21842000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21843000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21844000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21845000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21846000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21847000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21848000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21849000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21850000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21851000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21852000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21853000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21854000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21855000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21856000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21857000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21858000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21859000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21860000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21861000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21862000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21863000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21864000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21865000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21866000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21867000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21868000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21869000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21870000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21871000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21872000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21873000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21874000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21875000,122,1221,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21876000,203,813,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21877000,333,1292,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21878000,450,1175,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21879000,578,1284,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21880000,679,1003,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21881000,759,806,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21882000,841,818,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21883000,958,1170,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21884000,1064,1056,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
