trip_id,id,type,busStop,lane,pos,parking,started,ended,delay,arrivalDelay,initialPersons,loadedPersons,unloadedPersons,initialContainers,loadedContainers,unloadedContainers,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name,start_diff
205478020,144,Gillig_102,413,394075884#0_0,100.16,0,51260.0,51262.00,21.00,20.00,7,2,1,0,0,0,144,20220111 14:13,51240,51840,413,400,14,1402,1401,20.0
206053020,725,Gillig_108,143,-19492902#2_0,109.57,0,51301.0,51302.00,1.00,1.00,0,0,0,0,0,0,725,20220111 14:35,51300,53100,143,730,2A,3302,252,1.0
206076020,727,Gillig_108,730,-861020846#6_0,85.50,0,51317.0,51319.00,18.00,17.00,8,4,0,0,0,0,727,20220111 14:19,51300,53100,730,143,2A,3202,201,17.0
205304020,140,Gillig_102,400,173777776#0_0,187.23,0,51417.0,51421.00,0.00,-3.00,2,0,0,0,0,0,140,20220111 14:17,51420,52020,400,413,14,1602,1403,3.0
205429020,143,Gillig_102,413,394075884#0_0,100.15,0,51679.0,51681.00,20.00,19.00,3,1,3,0,0,0,143,20220111 14:22,51660,52260,413,400,14,1502,1402,19.0
205912020,120,Gillig_103,354,-19509210_0,249.70,0,51811.0,53461.00,0.00,-1649.00,11,0,0,0,0,0,120,20220111 14:47,53460,54900,354,756,21,7902,953,1649.0
205348020,144,Gillig_102,400,173777776#0_0,187.23,0,51838.0,51841.00,0.00,-2.00,7,0,1,0,0,0,144,20220111 14:27,51840,52440,400,413,14,1402,1401,2.0
206279020,133,Gillig_103,1351,861011659_0,111.30,0,51936.0,51937.00,36.00,36.00,3,0,0,0,0,0,133,20220111 14:24,51900,55500,1351,1876,4,5902,454,36.0
204906020,146,Gillig_107,1351,861011659_0,111.28,0,51946.0,51947.00,10005.00,10005.00,16,2,0,0,0,0,146,20220111 12:20,44700,46800,1351,95,1,2602,153,7246.0
204902020,146,Gillig_107,1351,861011659_0,111.28,0,51946.0,51947.00,10005.00,10005.00,16,2,0,0,0,0,146,20220111 14:30,52500,54600,1351,95,1,2602,153,554.0
206023020,134,Gillig_103,12,862116439#0_0,128.60,0,52011.0,52013.00,11812.00,11811.00,4,3,0,0,0,0,134,20220111 12:06,43200,44700,12,779,28,3502,2802,8811.0
206024020,134,Gillig_103,12,862116439#0_0,128.60,0,52011.0,52013.00,11812.00,11811.00,4,3,0,0,0,0,134,20220111 12:50,46200,47700,12,779,28,3502,2802,5811.0
206025020,134,Gillig_103,12,862116439#0_0,128.60,0,52011.0,52013.00,11812.00,11811.00,4,3,0,0,0,0,134,20220111 13:43,49200,50700,12,779,28,3502,2802,2811.0
206026020,134,Gillig_103,12,862116439#0_0,128.60,0,52011.0,52013.00,11812.00,11811.00,4,3,0,0,0,0,134,20220111 14:30,52200,53700,12,779,28,3502,2802,189.0
205410020,140,Gillig_102,413,394075884#0_0,100.16,0,52040.0,52042.00,21.00,20.00,3,2,1,0,0,0,140,20220111 14:26,52020,52620,413,400,14,1602,1403,20.0
206270020,506,Gillig_105,1351,861011659_0,111.31,0,52165.0,52166.00,6924.00,6924.00,32,0,0,0,0,0,506,20220111 13:11,47700,51300,1351,1876,4,5702,452,4465.0
205322020,143,Gillig_102,400,173777776#0_0,187.23,0,52247.0,52261.00,0.00,-13.00,0,0,0,0,0,0,143,20220111 14:27,52260,52860,400,413,14,1502,1402,13.0
206768020,136,Gillig_102,1555,862070076#0_0,133.26,0,52261.0,52264.00,18663.00,18661.00,31,3,2,0,0,0,136,20220111 13:37,48900,50700,1555,1710,9,7402,905,3361.0
205754020,138,Gillig_102,2086,862393022#0_0,101.15,0,52317.0,52318.00,117.00,117.00,6,0,0,0,0,0,138,20220111 14:39,52200,55200,2086,354,16,7102,902,117.0
205941020,113,Gillig_103,756,19511224#1_0,331.01,0,52332.0,52333.00,2832.00,2832.00,4,2,0,0,0,0,113,20220111 14:28,51900,53100,756,1351,21,6502,460,432.0
205943020,113,Gillig_103,756,19511224#1_0,331.01,0,52332.0,52333.00,2832.00,2832.00,4,2,0,0,0,0,113,20220111 13:51,49500,50580,756,1351,21,6502,460,2832.0
205477020,144,Gillig_102,413,394075884#0_0,100.16,0,52460.0,52462.00,21.00,20.00,8,2,2,0,0,0,144,20220111 14:36,52440,53040,413,400,14,1402,1401,20.0
205303020,140,Gillig_102,400,173777776#0_0,187.24,0,52608.0,52621.00,0.00,-12.00,0,0,0,0,0,0,140,20220111 14:36,52620,53220,400,413,14,1602,1403,12.0
207273020,146,Gillig_107,756,19511224#1_0,331.01,0,52829.0,52830.00,9929.00,9929.00,21,0,0,0,0,0,146,20220111 11:56,42900,44400,756,1351,21,2602,153,9929.0
205428020,143,Gillig_102,413,394075884#0_0,100.16,0,52881.0,52884.00,23.00,21.00,0,6,0,0,0,0,143,20220111 14:41,52860,53460,413,400,14,1502,1402,21.0
204953020,123,Gillig_103,95,-861011637#0_0,92.76,0,52925.0,52927.00,9426.00,9425.00,11,0,4,0,0,0,123,20220111 12:07,43500,45600,95,145,1,2502,152,9425.0
204939020,123,Gillig_103,95,-861011637#0_0,92.76,0,52925.0,52927.00,9426.00,9425.00,11,0,4,0,0,0,123,20220111 14:11,51300,54000,95,690,1,2502,152,1625.0
205937020,506,Gillig_105,756,19511224#1_0,331.01,0,52972.0,52973.00,6772.00,6772.00,32,0,0,0,0,0,506,20220111 15:40,56400,57300,756,145,21,5702,452,3428.0
205347020,144,Gillig_102,400,173777776#0_0,187.25,0,53026.0,53041.00,0.00,-14.00,2,0,0,0,0,0,144,20220111 14:45,53040,53640,400,413,14,1402,1401,14.0
206271020,113,Gillig_103,1351,-861011657_0,111.31,0,53033.0,53034.00,2453.00,2453.00,4,2,0,0,0,0,113,20220111 14:47,53100,56700,1351,1876,4,6502,460,67.0
206073020,725,Gillig_108,730,-861020849#1_0,99.15,0,53119.0,53120.00,19.00,19.00,0,0,0,0,0,0,725,20220111 15:52,56700,57600,730,1565,2A,3302,252,3581.0
206074020,725,Gillig_108,730,-861020849#1_0,99.15,0,53119.0,53120.00,19.00,19.00,0,0,0,0,0,0,725,20220111 15:17,54900,55800,730,1565,2A,3302,252,1781.0
206075020,725,Gillig_108,730,-861020849#1_0,99.15,0,53119.0,53120.00,19.00,19.00,0,0,0,0,0,0,725,20220111 14:46,53100,54000,730,1565,2A,3302,252,19.0
206283020,154,Gillig_101,1351,861011659_0,111.31,0,53140.0,53142.00,7241.00,7240.00,3,4,0,0,0,0,154,20220111 13:26,45900,49500,1351,1876,4,5502,408,7240.0
